feature,horizon,decile,n,feat_lo,feat_hi,mean_bps,median_bps,hit,lift_bps,hit_lift
body,4,6,11129,1.5067275384592205e-05,0.00018827073331450627,0.29655351732656043,0.765052406090927,0.5223290502291311,0.11718759648179375,0.0006110162638153227
body,4,7,11129,0.000188274277968144,0.00037226122101680493,0.2851887019184906,0.5223295899714486,0.5137029382693863,0.10582278107372392,-0.008015095695929508
body,4,8,11129,0.0003722777191785072,0.0006363829206945665,0.09567981917871506,0.5896921806813893,0.5131638062719023,-0.08368610166605163,-0.008554227693413519
body,4,9,11129,0.0006364022061943148,0.0011330627716775509,0.4232161613186249,0.9026900162489859,0.521430496899991,0.2438502404738582,-0.0002875370653248055
body,4,10,11129,0.001133168254501196,0.02270699290846757,0.45803162725006574,1.649814985034137,0.5263725402102615,0.2786657064052991,0.0046545062449456776
range,4,1,11129,0.0,0.0005068937550689375,0.27860025404400385,0.8012178511340728,0.5304160301913918,0.09923433319923716,0.008697996226076032
range,4,2,11129,0.0005068974256852166,0.000656282814140707,0.0786021616698823,0.5896921806813893,0.5198131009075388,-0.10076375917488438,-0.0019049330577769474
range,4,3,11129,0.0006563025554780754,0.0008127721335268505,0.36505503837774805,0.9756097560975618,0.5291580555305957,0.18568911753298137,0.007440021565279897
range,4,4,11129,0.0008127749091604513,0.0009745774510622894,0.02616572857446648,0.5740857684144451,0.5159493215922365,-0.1532001922703002,-0.005768712373079299
range,4,5,11129,0.0009746060967025827,0.0011694041354382608,0.1717433512045264,0.8742787200555213,0.5196333902417108,-0.007622569640240273,-0.002084643723604951
range,4,6,11129,0.0011694343279093856,0.0014050767033675772,0.4718654086833587,1.0253956318151403,0.5223290502291311,0.29249948783859203,0.0006110162638153227
range,4,7,11129,0.0014050791007493755,0.0017193947730398899,0.17244698253304094,1.2075107166586996,0.5231377482253572,-0.006918938311725742,0.0014197142600413937
range,4,8,11129,0.0017194503637298847,0.0021908090344791614,0.29055837616212854,1.4144771738755502,0.5263725402102615,0.11119245531736185,0.0046545062449456776
range,4,9,11129,0.0021909133069997282,0.003057993955964887,0.010480182822130845,1.4789180235741384,0.521340641567077,-0.16888573802263585,-0.0003773923982387517
range,4,10,11129,0.003058014055103061,0.029112221368178325,-0.07185827562361938,0.943351728692754,0.5090304609578579,-0.25122419646838606,-0.01268757300745793
body_frac,4,1,11129,0.0,0.0975609756097561,0.11575491598537463,0.6778741865520743,0.5147812022643544,-0.06361100485939206,-0.006936831700961377
body_frac,4,2,11129,0.0975609756097561,0.19101123595505617,0.29600008766824926,1.0397171969223074,0.5248449995507234,0.11663416682348257,0.003126965585407593
body_frac,4,3,11129,0.19101123595505617,0.28,0.1555811349278745,0.8371002846141451,0.5190044029113128,-0.023784785916892176,-0.0027136310540030184
body_frac,4,4,11129,0.28,0.3670886075949367,0.1292191125058959,1.0376673238554623,0.5255638422140354,-0.05014680833887078,0.0038458082487196066
body_frac,4,5,11129,0.3670886075949367,0.4485981308411215,0.17830419169626435,0.9513842641051262,0.5240363015544972,-0.0010617291485023328,0.002318267589181411
body_frac,4,6,11129,0.4485981308411215,0.5299145299145299,0.00268275427967432,0.8919015340702607,0.5184652709138288,-0.17668316656509236,-0.0032527630514870287
body_frac,4,7,11129,0.53,0.6121794871794872,0.33636449659198503,1.0373443983402453,0.5247551442178093,0.15699857574721834,0.0030371102524935356
body_frac,4,8,11129,0.6122448979591837,0.7,0.32095475787179795,1.0578652279691347,0.5265522508760895,0.14158883702703126,0.004834216910773681
body_frac,4,9,11129,0.7,0.8,0.013818066665909788,0.9449116507598276,0.5206217989037649,-0.1655478541788569,-0.0010962350615508765
body_frac,4,10,11129,0.8,1.0,0.24497969025464134,0.8229098090839493,0.5185551262467427,0.06561376940987465,-0.0031629077185730825
close_loc,4,1,11129,0.0,0.10236220472440945,0.07326665164176736,1.0177599104377322,0.5231377482253572,-0.10609926920299932,0.0014197142600413937
close_loc,4,2,11129,0.10236220472440945,0.2,0.014819258744088766,0.8974646623283178,0.5168478749213766,-0.16454666210067792,-0.004870159043939171
